gene_id,symbol,baseline_1,baseline_2,baseline_3,DE.BSA.DMSO.day5_2,DE.BSA.DMSO.day5_3,DE.FFA.LPS.day5_1,DE.FFA.LPS.day5_2,DE.FFA.LPS.day5_3,DE.TMC.day5_1,DE.TMC.day5_2,DE.TMC.day5_3
ENSG00000228526,MIR34A,2.44715,2.38713,2.3817,2.32938,2.37033,2.33269,2.39948,2.50483,2.10535,1.29079,2.10588
ENSG00000173905,GOLIM4,3.4536,3.49264,3.48757,3.47876,3.55051,3.50919,3.5755,3.50678,3.26569,2.55619,3.19387
ENSG00000182952,HMGN4,3.52819,3.48688,3.49786,3.43064,3.49147,3.57464,3.56652,3.43438,3.65113,3.05865,3.67876
ENSG00000162517,PEF1,3.87828,3.91824,3.84836,3.82851,3.89943,4.03986,3.98017,3.95237,3.97473,4.53364,4.06818
ENSG00000187147,RNF220,4.13346,4.15856,4.15527,4.10284,4.2203,4.24734,4.2853,4.33775,4.20253,3.59271,4.28355
ENSG00000116786,PLEKHM2,4.23574,4.31965,4.24093,4.29604,4.30564,4.37196,4.42021,4.49278,3.90046,3.41387,3.8838
ENSG00000090975,PITPNM2,2.12383,2.19801,2.17625,2.23752,2.18067,1.81107,2.01948,1.85381,1.67059,1.09412,1.60455
ENSG00000173141,MRPL57,2.81767,2.85094,2.79985,2.82797,2.90793,2.94688,2.88738,2.87394,2.95431,3.47951,2.93782
ENSG00000100106,TRIOBP,4.26622,4.22378,4.24028,4.17677,4.1887,4.337,4.37298,4.43478,3.85302,2.66889,3.85128
ENSG00000131779,PEX11B,2.86177,2.87516,2.86906,2.91337,2.94258,2.91102,2.84472,2.78624,2.70692,2.78139,2.71174
ENSG00000197043,ANXA6,4.92584,4.91255,4.93952,5.00579,4.95411,4.82941,4.89977,4.76849,5.11506,5.46228,5.09457
ENSG00000114796,KLHL24,2.92718,2.92594,2.88395,2.88668,2.92095,2.96894,2.94042,2.95114,3.03957,2.4779,2.7802
ENSG00000169359,SLC33A1,2.9705,2.99631,3.05558,3.05425,3.03382,2.88027,3.11487,2.97648,4.3208,3.28378,4.29506
