gene_id,symbol,baseline_1,baseline_2,baseline_3,DE.BSA.DMSO.day5_2,DE.BSA.DMSO.day5_3,DE.FFA.LPS.day5_1,DE.FFA.LPS.day5_2,DE.FFA.LPS.day5_3,DE.TMC.day5_1,DE.TMC.day5_3
ENSG00000075975,MKRN2,2.90862,2.9699400000000002,2.87138,2.78182,2.74431,2.79078,2.84611,2.9657400000000003,2.73224,2.8378
ENSG00000096063,SRPK1,2.52515,2.6301,2.5968,2.77504,2.72097,2.80295,2.7493,2.52078,2.32386,2.28867
ENSG00000134531,EMP1,3.85846,4.01171,4.13629,4.08974,4.02114,3.19578,3.29236,3.49223,3.00628,3.02165
ENSG00000189046,ALKBH2,2.6623099999999997,2.56343,2.41418,2.48624,2.57202,2.20797,2.6240900000000003,2.54995,2.6637,2.73526
ENSG00000102595,UGGT2,2.1684900000000003,2.02257,2.02177,1.83874,1.9513599999999998,2.1036,2.0665,1.7707,2.3060400000000003,2.43242
ENSG00000138642,HERC6,1.7525700000000002,1.72898,1.74383,1.6069,1.5626200000000001,2.38924,1.37998,1.9869599999999998,1.94655,1.96615
ENSG00000171490,RSL1D1,3.9337699999999995,3.9582,3.92935,3.7835400000000003,3.7973800000000004,4.14963,4.074319999999999,4.14928,4.34722,4.37792
ENSG00000125247,TMTC4,1.7530400000000002,1.80287,1.66255,1.9016099999999998,1.75682,1.95905,1.9880000000000002,1.9136,1.48125,1.38117
ENSG00000007237,GAS7,3.03704,2.92916,3.1886799999999997,3.09308,3.1029,3.07986,3.07901,3.15845,2.33492,2.15841
ENSG00000182022,CHST15,2.2202900000000003,2.3404700000000003,2.43133,2.5548,2.42036,2.14272,2.1855700000000002,2.36835,2.1644799999999997,2.2187200000000002
ENSG00000181192,DHTKD1,3.6441199999999996,3.58305,3.7501800000000003,3.5745699999999996,3.4998400000000003,3.09517,3.04584,2.9834,2.98062,2.9466200000000002
ENSG00000159593,NAE1,3.33167,3.14836,3.25048,3.19211,3.35986,3.14723,3.18721,3.19963,2.86803,2.8561099999999997
ENSG00000173041,ZNF680,1.43836,1.43147,1.38816,1.23995,1.27125,1.57867,1.46407,1.22696,1.03188,1.09091
ENSG00000155330,C16orf87,2.26505,2.09761,2.0436900000000002,2.10586,2.08135,2.21116,2.18812,2.01335,1.9169,2.0526
ENSG00000143028,SYPL2,2.03547,2.13288,2.20687,2.08435,2.09718,1.6449599999999998,1.8876700000000002,1.87053,1.38386,1.4319899999999999
ENSG00000175893,ZDHHC21,0.8259110000000001,0.989137,0.8374389999999999,0.9139520000000001,1.11558,1.07558,1.09489,1.10825,0.860994,0.789229
ENSG00000169926,KLF13,3.69038,3.73686,3.70035,3.63156,3.57659,3.53284,3.6146300000000005,3.60903,3.36655,3.2819
ENSG00000267080,ASB16-AS1,1.59778,1.63696,1.6732599999999997,1.46538,1.758,1.65569,1.90065,1.7187,2.00769,1.72472
ENSG00000254858,MPV17L2,2.3991700000000002,2.3995,2.37187,2.6010400000000002,2.45413,2.3303599999999998,2.5215400000000003,2.52466,3.6554,3.75452
ENSG00000059573,ALDH18A1,3.3334,3.28234,3.3469,3.10615,3.22778,3.17008,3.30019,3.1926,2.82468,2.69938
ENSG00000167384,ZNF180,1.46148,1.3128600000000001,1.33095,1.23165,1.32365,1.40199,1.36178,1.0936700000000001,1.45879,1.28928
ENSG00000096746,HNRNPH3,4.22824,4.22583,4.17678,4.29369,4.36083,4.47141,4.38166,4.4839400000000005,4.39849,4.30409
ENSG00000143324,XPR1,2.37186,2.16325,2.2060299999999997,2.13562,2.36637,2.18788,2.3902799999999997,2.30438,2.18927,2.18855
ENSG00000104671,DCTN6,3.6049599999999997,3.5048199999999996,3.48066,3.40141,3.2875099999999997,3.64065,3.49389,3.6255,3.5287900000000003,3.6373699999999998
ENSG00000275023,MLLT6,3.58397,3.59196,3.4196800000000005,3.61867,3.57617,3.38219,3.4461699999999995,3.58285,3.45304,3.2489999999999997
ENSG00000181852,RNF41,3.1006,3.07576,3.16736,3.04179,2.94199,3.23066,3.21565,3.14665,3.5800300000000003,3.4474699999999996
ENSG00000153015,CWC27,2.29405,2.14888,2.04457,2.15084,2.1428599999999998,2.33491,2.3321099999999997,2.19887,1.9191900000000002,2.0775099999999997
ENSG00000177732,SOX12,2.86842,2.85764,2.86314,2.7544299999999997,2.66585,2.47297,2.66628,2.76736,2.40137,2.58284
ENSG00000184898,RBM43,1.34033,1.20997,1.34256,1.42751,1.30535,1.16736,1.43772,1.47627,1.36196,1.17563
ENSG00000171476,HOPX,1.33659,1.2456200000000002,1.31693,1.34045,1.34122,2.21136,1.9075099999999998,1.7503900000000001,-0.4841,-0.283893
ENSG00000196466,ZNF799,0.796621,0.731796,0.68006,0.706889,0.84226,0.6580779999999999,0.82471,0.3779,0.583271,0.332929
